Latitude,Longitude,Fecha,Fallecidos,CCAA
41.85230940,1.5745043,19,0,Cataluña
39.68195910,-0.7654406,19,0,C. Valenciana
39.17484260,-6.1529891,19,0,Extremadura
42.61946000,-7.8631120,19,0,Galicia
40.41670470,-3.7035825,19,0,Madrid
37.99237950,-1.1305431,19,0,Murcia
42.61254875,-1.8307877,19,0,Navarra
42.99118160,-2.5543023,19,0,País Vasco
42.28146420,-2.4828050,19,0,La Rioja
35.89442195,-5.3558174,19,0,Ceuta
35.29291145,-2.9507202,19,0,Melilla
37.33999640,-4.5811614,20,0,Andalucía
41.37872910,-0.7639373,20,0,Aragón
43.31338680,-5.9419200,20,0,Asturias
39.61343200,2.8829185,20,0,Baleares
28.29357850,-16.6214471,20,0,Canarias
43.15956640,-4.0878382,20,0,Cantabria
41.80371720,-4.7471726,20,0,Castilla y León
39.41779020,-2.6232332,20,0,Castilla La Mancha
41.85230940,1.5745043,20,0,Cataluña
39.68195910,-0.7654406,20,0,C. Valenciana
39.17484260,-6.1529891,20,0,Extremadura
42.61946000,-7.8631120,20,0,Galicia
40.41670470,-3.7035825,20,0,Madrid
37.99237950,-1.1305431,20,0,Murcia
42.61254875,-1.8307877,20,0,Navarra
42.99118160,-2.5543023,20,0,País Vasco
42.28146420,-2.4828050,20,0,La Rioja
35.89442195,-5.3558174,20,0,Ceuta
35.29291145,-2.9507202,20,0,Melilla
37.33999640,-4.5811614,21,0,Andalucía
41.37872910,-0.7639373,21,0,Aragón
43.31338680,-5.9419200,21,0,Asturias
39.61343200,2.8829185,21,0,Baleares
28.29357850,-16.6214471,21,0,Canarias
43.15956640,-4.0878382,21,0,Cantabria
41.80371720,-4.7471726,21,0,Castilla y León
39.41779020,-2.6232332,21,0,Castilla La Mancha
41.85230940,1.5745043,21,0,Cataluña
39.68195910,-0.7654406,21,0,C. Valenciana
39.17484260,-6.1529891,21,0,Extremadura
42.61946000,-7.8631120,21,0,Galicia
40.41670470,-3.7035825,21,0,Madrid
37.99237950,-1.1305431,21,0,Murcia
42.61254875,-1.8307877,21,0,Navarra
42.99118160,-2.5543023,21,0,País Vasco
42.28146420,-2.4828050,21,0,La Rioja
35.89442195,-5.3558174,21,0,Ceuta
35.29291145,-2.9507202,21,0,Melilla
37.33999640,-4.5811614,22,0,Andalucía
41.37872910,-0.7639373,22,0,Aragón
43.31338680,-5.9419200,22,0,Asturias
39.61343200,2.8829185,22,0,Baleares
